Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
Has amazing potential but feels like an RSL not a resort. The location / views at restaurants could be so much bette,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2026,Fecha del comentario: 4 de febrero de 2026,Georgie,Beautiful island with nice beaches,"Food was not great, very limited and very expensive",4 noches ·,"5,0",Australia,En pareja
It’s ok,Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 31 de enero de 2026,Yu,Breakfast was good.,Old facilities and dirty in general for a resort,2 noches ·,"5,0",Australia,Persona que viaja sola
The resort has the bones of a great trip but until the service is improved we won’t be back,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2026,Fecha del comentario: 31 de enero de 2026,Peri,The food was great at all of the restaurants and decent portion sizes. The room itself was a great size with very comfortable beds. Great range of activities to do on the island both free and paid.,"The service from staff all across the island was disappointing, but particularly at the restaurants. Restaurant staff were disorganised and disinterested. We were constantly waiting for staff to take our order, and when we’d ask we’d just get told it was someone else’s job. Most staff across the resort seemed disinterested in actually helping, and when we requested anything it was always done begrudgingly. In addition, our room was not properly cleaned. There was toothpaste on the bathroom tap and the floor around the beds was covered in hair.",4 noches ·,"4,0",Australia,En grupo
wow wow wow!,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2026,Fecha del comentario: 29 de enero de 2026,Estella,"this place has unreal value for money. so clean, picturesque and unlimited things to do. the island itself is stunning and you truly feel like you’re in a tropical paradise. staff were so kind. restaurants were absolutely phenomenal. definitely recommend INFINITY asian fusion restaurant, i have never had anything better! could not recommend more :)",,1 noche ·,10,Australia,En pareja
Excepcional,Superior Pool Side Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 25 de enero de 2026,Jean,The hotel coral reef aquarium and the water sports activities,No exhaust fan in the bathroom,1 noche ·,10,Australia,En grupo
Disappointing,Habitación Doble Superior con vistas a la piscina - 2 camas,enero de 2026,Fecha del comentario: 25 de enero de 2026,Kate,"Great breakfast,","I had such high hopes as I visited daydream 10 years ago and loved it so I booked a couple days stay but I was pretty disappointed.
I travelled as a single mum with 2 children and was barely able to do anything. The website said there was babysitting, no one was able to help me.
My youngest was 2 years old so unable to go to kids club. So basically I wanted to do snorkelling, jet ski etc but couldn’t do anything as I was unable to be child free for a couple hours. The facilities around the island were a bit worn too. Staff also didn’t seem very happy. Especially young lady at the tour desk. She was absolutely rude",2 noches ·,"5,0",Australia,En familia
I will definately do it again.,Superior Pool View Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 25 de enero de 2026,Sonya,Loved the free snorkeling at lovers cove.,Most staff were excellent at their job. Some though were a little untrained.,2 noches ·,10,Australia,En pareja
"Lovely location but very disappointed with what the island has to offer now, needs some love and work and staff need a l",Alojamiento Superior con cama extragrande y vistas al océano,enero de 2026,Fecha del comentario: 25 de enero de 2026,Melissa,Views were fantastic. Water sports were fun. Adam from water sports was very nice and approachable.,"Staff were unpleasant at times and were not very helpful. Our bags had not arrived when we arrived to daydream island and the front desk staff were very unhelpful in helping us locate them, we did it ourselves! Lots of things were broken around the island. Food very expensive for the quality we received most of the time. Food and drinks we wanted to order that were on the menu were not available most of the time. Wait times for the restaurant Salti even when booked prior were absolutely bad, waited 20 minutes plus to he approached by a staff member after being seated. Wanted to do the jet boat but no times advertised and when we went to book was told that the boat would not be back for another week. More activities are needed on the island, got bored after a few days.",3 noches ·,"5,0",Australia,En pareja
Aceptable,Superior Pool View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 24 de enero de 2026,Wanderley,Breakfast very under standard.,Breakfast .,3 noches ·,"5,0",Australia,En pareja
Daydream Island is an absolute dream 😍,Superior Ocean View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 24 de enero de 2026,Rebecca,"Daydream Island lives up to its namesake. I just wish we could have stayed for longer!!!

My partner and I celebrated our engagement (happened on this trip!) by taking a break from the campervan to spend a night in luxury!

I let the team know and we were gifted with a lovely card and bottle of bubbles from the team. 

I can't say enough about this magical place. They have a living reef going through the resort where you can sit and watch rays, reef sharks and fish swimming around.

The facilities are stunning, the staff are lovely. Honestly if you are able to experience this place please do not hesitate. It's pure magic.",That we couldn't stay longer!!!,1 noche ·,10,Australia,En pareja
Disgusting. Kids eat free is the only positive!,Habitación Doble Superior con vistas a la piscina - 2 camas,diciembre de 2025,Fecha del comentario: 24 de enero de 2026,Tanya’s,Location. That’s it,"This place is FILTHY! I don’t think there is a hoover on the island. The mould, the dirt, the staff that just don’t care! Do not stay here.",1 noche ·,"1,0",Reino Unido,En familia
Horrible experience,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 23 de enero de 2026,Albiona,Worst resort I have ever stayed at!,"for Booking.com: We stayed four nights at Daydream Island Resort and Spa after months of planning and careful research. Based on the four-star rating and the photos shown online, we expected a well-maintained island resort. Unfortunately, our experience was very different from what was advertised. We have attached photos to accurately reflect the conditions described below.

From arrival, it was clear that much of the island is poorly maintained and visibly dilapidated. There were broken fences around the tennis courts, run-down and unused buildings, and a general lack of landscaping, cleaning, and upkeep. Given how small the island is, this neglect was very noticeable and disappointing.

Our room was in poor condition, with damaged drywall and visible wear. Housekeeping was a major issue throughout our stay. We requested room cleaning three separate times. When housekeeping finally came on the third day, the service was extremely superficial — the bed was made and towels were replaced, but the bathroom was not cleaned, trash remained on the floor, and used glasses and bottles on the nightstand were not removed. The room did not appear to have been properly cleaned at all. In addition, Wi-Fi barely worked in our room, despite being advertised as an included amenity.

The common areas were also in poor condition. The laundry room had severely chipped and damaged tiles and looked very run-down. During rainy weather, multiple walkways flooded. Carpets throughout the resort were old and had a damp, mildewy smell. Soundproofing was almost nonexistent — we could clearly hear the laundry room through the walls of our room.

The dining experience raised serious concerns. Dining areas were consistently messy and appeared understaffed, with tables not being cleaned in a timely manner. We found hair in our food, were served visibly dirty dishes, and at one point received a glass of water that contained a foreign object.",4 noches ·,"1,0",Estados Unidos,En pareja
Paradise,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 22 de enero de 2026,John,"The whole island. Had such a lovely relaxing stay, the island is paradise, will definitely be back.",Everything was perfect. There was nothing we didn’t like,2 noches ·,10,Reino Unido,En pareja
We will not be back,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 19 de enero de 2026,Robert,The aquarium and infinity restaurant,"The aircon that did not work the tv that did not work both reported nothing done. The other end of the island is a disgrace, very little entertainment, no entertainment on Friday night",1 noche ·,"3,0",Australia,En familia
"Locked Out, Wrong Ferry, Missed Activities, $600 Out of Pocket – Terrible Experience”",Superior Pool Side Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 19 de enero de 2026,Cash,"Pool , location , music , infinity restaurant","Locked out of our room the night before checkout and given the wrong ferry passes, wasting 3 hours and missing all activities booked for my daughters. We had to rush on the wrong ferry, spending 3 hours in the rain just to get to the airport. Terrible experience, very frustrating, and out of pocket over $600 won’t be going back.",5 noches ·,"5,0",Australia,En familia
"No entertainment on a Friday night, we wondered around trying to find something to do after tea.",Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 17 de enero de 2026,Robert,Only the aquarium and Infinity Restaurant,The Aircon in the room smelt dusty so we wiped mould and dust off it plus the Aircon screamed and did not work effectively so no sleep for the 2nights we were there. We did inform front desk to be told they didn’t have available maintenance to fix it.,1 noche ·,"1,0",Australia,Persona que viaja sola
Decepcionante,Superior Living Reef View Twin Room,diciembre de 2025,Fecha del comentario: 15 de enero de 2026,Rees,"I liked the swimming pools and The place of the island and I liked how the stuff greeted you when you got off the boat but if there was a problem, they didn’t want to help you.",The Rooms were very tired and clean red mould over our doors where we complained because we needed to change rooms paid extra for the reef review room which didn’t show you anything. I don’t know if it’s because we were there over Christmas but the reception staff were unable to help. Felt like the hotel was a bit tatty.,3 noches ·,"4,0",Reino Unido,En familia
Renovation,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 15 de enero de 2026,Matheus,"Has a potential to be an amazing resort, but it’s not",It was ok,1 noche ·,"5,0",Australia,En pareja
"The restaurants, and buffet were excellent catering for everyone. Nice big rooms, friendly obliging staff nothing was to",Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 12 de enero de 2026,Christine,"Daydream Island is just a wonderful experience for the entire family, or for anyone. We had a great time, the colour of the water is aqua blue you have to see it to believe how beautiful it is.",,5 noches ·,10,Australia,En grupo
"A beautiful location wasted by poor management, terrible service!",Superior Ocean View Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 10 de enero de 2026,Nicholas,The marine life.,"Daydream Island is a beautiful location ruined by poor management, untrained and disengaged staff, substandard housekeeping, and overpriced, low-quality food. Facilities are poorly maintained, service is minimal, and guests are left feeling captive on an island where basic expectations of a “resort” experience are not met. We are now on Hamilton Island and loving it—do yourself a favour and go there instead.",5 noches ·,"1,0",Australia,En familia
Was a comfortable stay nice staff and very helpful,Superior Pool View King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 10 de enero de 2026,L,Was a nice place good facilities,Everything was good,3 noches ·,10,Australia,En pareja
More like Nightmare Island than Daydream,Superior Ocean View Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 9 de enero de 2026,Sara,Beautiful little island with fantastic wildlife,Quite a lot of the hotel and facilities are dated and in need of repair/modernisation.  Not good facilities for food- 2 restaurants with not that much choice and only open till 830pm with no alternative to get food anywhere. Restaurant and bar staff were not happy in their work and unhelpful and service was slow.  Would not return,2 noches ·,"5,0",Guernsey,En pareja
Disappointed,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 9 de enero de 2026,Richard,Nice location and set up for lots of activities if the weather is ok,"Staff were very inexperienced 
No sign of any urgency or supervision 
Looked severely understaffed 
Not very clean especially the restaurants",3 noches ·,"4,0",Australia,En familia
Underwhelming,Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 9 de enero de 2026,Jessie,The aquarium was a hit with the kids and the other aquatic areas too.,"The facilities were poorly maintained and not very clean. A lot of staff members were sitting around on their phones instead of attending to cleaning or other tasks. There was a “games room” offered to the kids during our stay and it was very underwhelming with only a few board games on offer as well as a Nintendo game. 

The all day menu grew tired throughout our 3 night stay as it was the same offerings at all times of the day. We found it hard around lunchtime as some of our kids would nap from 12pm and no food could be ordered prior to 12pm. The food that was served at the restaurant (Salti) however was nice and good quality. The dinner buffet that we attended was not the best and left us feeling unsatisfied. The fruit selection at the breakfast buffet was not the best either which was disappointing given the tropical location. 

The room was fine however the bathroom could use some maintenance. Our shower would make an awful squealing sound! The exhaust fan did not work either and would have really been beneficial given the humidity. Some blackout curtains also wouldn’t go a stray. 

It is possible that the resort is understaffed but that being said the workers that they do have seem to be uninterested in hospitality or offering the guests an enjoyable stay. Some workers are fantastic though too!",3 noches ·,"4,0",Australia,En familia
Perfect location to stay and relax.,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 9 de enero de 2026,Maverick,"Heaps of free activities, with amazing room views. The two restaurants had nice food as well as the nice breakfast buffet which had some items rotating on different days.","The reef tours were still quite the trip away from the island, I guess I just didn't realise how far away daydream island is from Whitsundays and the platoon.",3 noches ·,10,Australia,En pareja
"Like ordering oysters, and being served sand",Superior Ocean View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 5 de enero de 2026,Gemma,You can't beat the location,,2 noches ·,"1,0",Australia,En pareja
Pésimo,Habitación Superior con vistas a la piscina - Cama extragrande,diciembre de 2025,Fecha del comentario: 5 de enero de 2026,Kristian,Staff were really nice but the place is really run down,Booked for myself and my 2 kids they gave us one bed and said sorry then gave us a broken trundle bed so my son slept on the couch and I slept on the floor,7 noches ·,"1,0",Australia,En familia
Disgusting,Superior Ocean View Twin - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 4 de enero de 2026,Aaron,The living reef,"Rude staff, long waits, room wasnt ready, when it finally was, it was filthy, very old and mould on walls and skirting board, garden patio was very dirty, and ripped and torn.  Gaps in patio doors, stains in the bath tub.  Would see other again and recommend that booking.vom remove it.  We had to leave and book other accommodation and waiting my refund still.",2 noches ·,"1,0",Reino Unido,En grupo
"Absolutely loved it. It was so magical, can’t wait to go back",Vista King Suite - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 3 de enero de 2026,Suroor,Absolutely everything!! The island resort was so magical,Nothing !!,3 noches ·,10,Australia,En pareja
Excepcional,Habitación Doble Resort con cama grande,diciembre de 2025,Fecha del comentario: 2 de enero de 2026,Shaqira,Everything was amazing,,2 noches ·,10,Australia,En pareja
"Usually I don’t write negative, but avoid this hotel at all costs.",Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 2 de enero de 2026,Loret,Nothing really.,"- unresponsive and rude staff.
- the whole hotel was run down
- hygiene of the whole hotel was shocking 
- they did not clean anything in the room, other than making up the bed. Our showers, bathroom bench, floors remained dirty the entire stay. They refused to even pick up anything from the floor. 
- annoying birds running around whole hotel and shutting everywhere (right next to when you’re eating) and no staff is bothered by it or will clean it. 
- they offer a hostel quality accomodation, but charge as a 5 star hotel…
- the staff are quite incompetent. All run by children who don’t know how to manage a hotel and struggle to get any orders right or pay attention to what needs to be done.",5 noches ·,"1,0",Australia,En pareja
Aceptable,Habitación Superior con vistas al mar - 2 camas,diciembre de 2025,Fecha del comentario: 28 de diciembre de 2025,Paul,The location was nice.,The room we were first allocated had no a/c working and was full of condensation. We were then allocated a second room where the television was not functioning. We also attemted to use the snorkelling facilities but found the equipment provided to be old and worn out.,3 noches ·,"5,0",Australia,En familia
Peaceful and relaxing break,Habitación Deluxe Ocean con terraza - Cama extragrande,diciembre de 2025,Fecha del comentario: 28 de diciembre de 2025,Anand,"Location, cleanliness, amenities",,2 noches ·,10,Australia,En familia
Pésimo,Habitación Superior con vistas a la piscina - Cama extragrande,diciembre de 2025,Fecha del comentario: 27 de diciembre de 2025,Jason,Diving,"Mouldly room
Air con not working
Not clean",3 noches ·,"1,0",Australia,En familia
Aceptable,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 24 de diciembre de 2025,Brad,Weather,"Unhappy staff, not organized, restaurant run like a zoo, food was limited, no chatge stations in rooms , wait on basic drinks as staff not trained,  gardens look terriable, no friendly stafg look all worn out, not retirning again  thankyou",2 noches ·,"5,0",Australia,En pareja
Daydream Needs Love,Superior Pool Side Twin - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 22 de diciembre de 2025,Kasey,The ease of being able to walk everywhere,"Have gone to Daydream for years and over time have noticed a considerable decline in the amenities, staff and even activities for families to do on island.",3 noches ·,"4,0",Australia,En grupo
Excepcional,Habitación Doble Superior con vistas a la piscina - 2 camas,diciembre de 2025,Fecha del comentario: 20 de diciembre de 2025,Megan,"The coral, the wildlife, the reef.  The layout of the hotel","Ferry transfers ate a little exoensive, if you are planning to island hop",2 noches ·,10,Australia,En familia
A perfect escape in natural surroundings. Wildlife in abundance in their natural environment.,Alojamiento Superior con cama extragrande y vistas al océano,diciembre de 2025,Fecha del comentario: 20 de diciembre de 2025,Donna,"Beautiful, natural setting. Informative wildlife presentations. Great food and beverages. Complimentary fizz in room. Friendly, helpful staff.",Nothing.,1 noche ·,10,Reino Unido,Persona que viaja sola
"Place nice, staff huge let down.",Habitación Resort con 2 camas individuales,diciembre de 2025,Fecha del comentario: 20 de diciembre de 2025,Sally,"Location was amazing, rooms were clean and tidy.","Informed them prior to check in that I had a number of people coming and requested them to be close. I had 2 bookings myself and assumed they would be together as they were for my children. The rooms were away from each other. 
When at dinner, the staff were the let down. Unorganised for my group regardless that we’d booked in as requested. Tables not set, service of drinks poor, not an option to go to the bar at the restaurant to get a drink. Rude wait staff telling us it’s only table service yet there was none. Each night we were there my group would spend in excess of $1200.00 per night just for dinner.",4 noches ·,"5,0",Australia,En pareja
"The $200 food credit was not applied and the resort will not honour it, food is expensive.",Alojamiento Superior con cama extragrande y vistas al océano,diciembre de 2025,Fecha del comentario: 20 de diciembre de 2025,Jessica,The island itself is beautiful,"The $200 food credit was not applied and the resort will not honour it, food is expensive, the room was untidy upon arrival, the remote for the tv wouldn’t work. The kitchen amenities are lacking for the price you pay for the “superior” rooms",3 noches ·,"5,0",Australia,En familia
Will be visiting again :),Superior Ocean View King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 14 de diciembre de 2025,Kassandra,"Property was clean, reasonable price, buffet breakfast was included which was good and options for those with different food needs, island restaurants all prices you would normally expect to pay going out, was very happy overall. Had ocean view room which definitely lived up to the name.",Nil issue that I can think of,2 noches ·,10,Australia,En pareja
It’s a no from us,Habitación Deluxe Ocean con terraza - Cama extragrande,diciembre de 2025,Fecha del comentario: 13 de diciembre de 2025,Grace,Beautiful scenery looking out only the Whitsundays,Falling into disrepair and everything on the island was extremely overpriced. The pools were also freezing,6 noches ·,"4,0",Australia,En pareja
Don't waste your money stay somewhere else,Superior Living Reef View Twin Room,diciembre de 2025,Fecha del comentario: 13 de diciembre de 2025,Aaron,The fish,"The receptionist was rude, the bed was like sleeping on bag of screws paid extra to upgrade from superior reef view to ocean view got no view of the ocean just plants, tv didn't work asked for it to fixed and they couldn't even do that, the selection of food was very limit, halve the island was closed, nothing to heat up food no plates or cutlery in the room, very disappointed",4 noches ·,"3,0",Australia,En familia
Aceptable,Habitación Doble Superior con vistas a la piscina - 2 camas,diciembre de 2025,Fecha del comentario: 12 de diciembre de 2025,Cheryl,"Nice pools,","Room was smelling of static water, not much choice on menus in resturants for dinner.  Only had two restaurants.",4 noches ·,"5,0",Australia,En familia
"Paradise, beautiful location, our family had a wonderful stay.",Habitación Doble Superior con vistas a la piscina - 2 camas,noviembre de 2025,Fecha del comentario: 30 de noviembre de 2025,Sarah,"Breakfast was lovely and I loved that it had some different options some days, the food was outstanding at Infinity restaurant and lovely staff, the kids club lady Jade was lovely and our child loved her time there and made heaps of cool craft. and she lovedthe stingray feeding experience, she had the best time and so did we. The island feels far away and secluded but not too far from the main land. There's a few free activities on the island and the pools were sparkling clean and absolutely beautiful! A good mix of relaxing and lots of swimming and doing the rainforest walk was fun too. It was paradise!!! My daughter loved the kangaroos too. Yes there isn't a huge amount of things to there which I've read in a few reviews, but isn't that kind of the point 🤔 I'm sure lots of options besides small islands would be better for people who want to jam pack the days with activities, we were happy to just enjoy it for what is was, a place for us to relax and unwind mostly. Even saying that lots of tours were available as well for an extra cost.",There wasn't enough coffee in the room but that wasn't a huge deal really we just asked for more at the front desk.,2 noches ·,10,Australia,En familia
Awesome 👏,Habitación Doble Superior con vistas a la piscina - 2 camas,noviembre de 2025,Fecha del comentario: 28 de noviembre de 2025,Harumi,Everything is perfact😊,Nothing,4 noches ·,10,Australia,En grupo
"Lovely staff, but very run down and disappointing.",Habitación Doble Superior con vistas a la piscina - 2 camas,noviembre de 2025,Fecha del comentario: 27 de noviembre de 2025,Tabitha,"The staff were lovely and friendly - they did the place a lot of credit. 
The food was also really lovely.","The whole place is run down, and no where near the standard we were lead to believe it was on social media or the website. There was blood on the pillow, hairs in the bed, the bin was very dirty and the bathroom was dirty with cracks and stains everywhere.
The rooms were the standard of an old travel lodge. Which is not what you want when you’re paying that much money.",3 noches ·,"3,0",Reino Unido,En familia
Just perfect,Resort Twin Room - Inclusive of Return Ferry Transfers,noviembre de 2025,Fecha del comentario: 27 de noviembre de 2025,Kamran,Amazing experience. I will go again,Everything was perfect,1 noche ·,10,Australia,En familia
Excepcional,Habitación Doble Resort con cama grande,noviembre de 2025,Fecha del comentario: 27 de noviembre de 2025,Andrew,The atmosphere and the politeness of staff,,1 noche ·,10,Australia,En pareja
Excepcional,Habitación Deluxe Ocean con terraza - Cama extragrande,noviembre de 2025,Fecha del comentario: 25 de noviembre de 2025,Patricia,"Everything was absolutelly perfect, I recommend 10/10.  Beautiful island, room was clean with a stunning view and staf was very helpfull and friendly! Perfect 3 day vacation :)",,2 noches ·,10,Eslovaquia,Persona que viaja sola
Relaxing,Habitación Superior con vistas al mar - 2 camas,noviembre de 2025,Fecha del comentario: 18 de noviembre de 2025,Currie,Absolutely beautiful,Variety of food,2 noches ·,10,Australia,En familia
Aceptable,Resort Twin Room - Inclusive of Return Ferry Transfers,noviembre de 2025,Fecha del comentario: 13 de noviembre de 2025,Sidari,Location,Did not like the food,3 noches ·,"5,0",Australia,En pareja
Once in a lifetime experience,Superior Pool Side King - Inclusive of Return Ferry Transfers,noviembre de 2025,Fecha del comentario: 12 de noviembre de 2025,Audrey,"Wildlife, facilities, uniqueness",Nothing,2 noches ·,10,Reino Unido,En pareja
Bad reviews are outdated! Amazing experience,Habitación Superior con vistas a la piscina - Cama extragrande,septiembre de 2025,Fecha del comentario: 11 de noviembre de 2025,Fernando,"We were wary of the place because of the bad reviews. We decided to give it a shot and see if we would regret it. TOTALLY WORTH EVERY PENNY. 

Plenty of activities, beautiful space, great staff, and no mould (as the bad reviews say).",,1 noche ·,10,Australia,En pareja
Nice stay but resort has lots of improvements to make,Habitación Superior con vistas al mar - 2 camas,noviembre de 2025,Fecha del comentario: 10 de noviembre de 2025,David,Location and pool was fantastic,The staff are undertrained. All the bars and restaurants have strange operating times and close early. All the lighting in communal areas is very bright and doesn’t create any atmosphere.,5 noches ·,"5,0",Australia,En grupo
Would not recommend.,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,octubre de 2025,Fecha del comentario: 10 de noviembre de 2025,Sheridan,"Breakfast was ok, was a bit average nothing was labelled in the yogurt section so there was lots of waste there. The underwater room was cool but the sea life in there looked miserable. The pool was nice but the swim up bar took forever to get service. Dinner was delicious at the resturaunt but very overpriced for what it was, almost $30 for a small ball of deep fried ice cream dessert was ridiculous. The snorkeling gear at lovers cove didnt open until later in the morning, best part of the day was first thing in the morning so we missed out on that. The staff were okay, mostly helpful.","No where near enough to do on the island, glad we only stayed 1 night. We left on the ferry early the next morning as there was nothing to do. It’s not like it used to be, half the island is abandoned. We paid almost $800 for 1 night and the floor below us was completely abandoned and deserted. Not sure why we paid so much when half the resort is in shambles still. Wont be recommending it, the food was extremely overpriced for what we ordered for 2 people. It was pretty much a waste of money, very disappointing.",1 noche ·,"3,0",Australia,En grupo
⭐️ 1 Star — “Daydream Island? More like Nightmare Island.,Habitación Resort con 2 camas individuales,noviembre de 2025,Fecha del comentario: 6 de noviembre de 2025,Tayla,pool and pool beds,"I don’t normally leave reviews, but this stay was something else. We booked through Booking.com for a room with two queen beds — there was no option to enter guest details, but reception said it was fine. Turns out, it wasn’t. Our room keys didn’t work, and when we went back, a senior staff member literally said, “You booked through an external party, that’s not my problem.” We were then charged an extra $185.

From there, it only went downhill.

Pool & Facilities:
	•	Towels had to be collected from reception instead of being available at the pool.
	•	The pool bar was open only from 10am to 5pm, which is ridiculous for a resort.
	•	Staff were consistently rude — most acted like serving guests was an inconvenience. A simple drink took 20 minutes, and the attitude was unreal.

Food & Drinks:
	•	The salmon pasta should come with a warning label. Both myself and my travel companion were violently sick after sharing one portion.
	•	The bar staff didn’t know how to make basic drinks — I literally had to explain how to make a Malibu and Coke.
	•	They ran out of Smirnoff, refused alternatives, and wouldn’t serve a vodka soda because it was “outside spirit hours.”
	•	Saw random items like a cake and tomato sauce bottles being wheeled around on a trolley — not exactly 4-star vibes.
	•	The chocolate fondue station downstairs was sloppy and unsanitary — staff were trying to fix it with a spatula before just putting it away.

Other “Highlights”:
	•	The spa is just a hotel room converted into a “massage space.” They charged $170 for a massage — no waiver forms, no professionalism.
	•	The “latest” bar closed at 9pm.
	•	Inflatable paddle boards? Really?
	•	Wetsuits full of holes — genuinely dangerous when swimming near stingers.
	•	There was a fake evacuation and a total power outage in the foyer at one point — surreal experience.
	•	One poor staff member told us she was rostered for a double shift on her birthday.",5 noches ·,"3,0",Australia,En grupo
Extremely chill and beautiful location,Superior Ocean View King - Inclusive of Return Ferry Transfers,noviembre de 2025,Fecha del comentario: 5 de noviembre de 2025,Allyson,It was very clean!,"I felt bad for the staff, I could see how understaffed they were and they were working so hard!",4 noches ·,10,Australia,En pareja
Extremely disappointed.,Habitación Resort con 2 camas individuales,noviembre de 2025,Fecha del comentario: 3 de noviembre de 2025,Lauri,Location was nice. Aquarium and living reef great.,"Service and staff. Very disappointed. No communication about booking tours. Poor service at Salti Restaurant, reception, tour desk and swim up bar. Unable to do 80% activities. Will not go back or recommend to family or friends.",3 noches ·,"3,0",Australia,En familia
We loved the island but found prices a bit to expensive for dinner and not a great choice .,Alojamiento Superior con cama extragrande y vistas al océano,octubre de 2025,Fecha del comentario: 3 de noviembre de 2025,Chris,"Location and view from room, staff all very pleasant and helpful","Hotel obviously needs some tender care . Choice of Dinners not great , Could even sell fish and chips in the evening for families etc.",3 noches ·,"5,0",Australia,En pareja
Horror island,Habitación Doble Superior con vistas a la piscina - 2 camas,octubre de 2025,Fecha del comentario: 1 de noviembre de 2025,Lauren,Nothing,"The technology in our first room, did not work. We were then moved to a second room, that had a strong sewer smell, water coming up through the floor and the bathroom was covered in condensation even though it had not been used. 

We were supposed to stay three nights and stayed one. 

Half of our family ended up sick after staying here.",3 noches ·,"1,0",Australia,En familia
Have a quiet stay.,Resort Twin Room - Inclusive of Return Ferry Transfers,octubre de 2025,Fecha del comentario: 30 de octubre de 2025,Anna,Quiet and relaxing in the pool.,"Our room has a cockroach on the headboard. Do they have pest control? Mould in the shower recess. Not really clean.  Same the last time I booked in last school holidays the balcony was dirty.  No notification about dinner wasn’t available from the hotel last minute they took it off from the table at the reception. Ended up to the restaurant, the meal I ordered was under cooked.  Not happy about staying in my room and the meals.",1 noche ·,"5,0",Australia,En familia
Average needs a lot of attention.,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 29 de octubre de 2025,Sam,"Pools were good, location very well placed.","Unfortunately Not many food options available. 
No other than table tennis games available. 
Always had to ask reception for tea, coffee and milk.
Room service wasn’t up to date when sign says red card was hang on door.",8 noches ·,"5,0",Australia,En pareja
"Such a lovely place, we will be back!",Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 25 de octubre de 2025,Long,"Location location. The whole island being the resort itself is very private. Great facilities, especially the pool , the outdoor area and open air aquarium. Friendly and helpful staff.",Food is okay,7 noches ·,10,Australia,En pareja
Disappointing,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,octubre de 2025,Fecha del comentario: 25 de octubre de 2025,Shaun,The room and bed was nice and comfortable - the sewage smell at 1:30am wasn’t nice and no feed back from management was very disappointing,"Staff services wasn’t good service was ordinary- food wasn’t good, especially then Asian restaurant",3 noches ·,"5,0",Australia,En pareja
Nothing Dreamy about it.,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 23 de octubre de 2025,Stephanie,"Location in the whitsundays is beautiful - it’s a shame the island only looks good from when you disembark from the ferry - welcomed to a transit arrival lounge with beverages, which then leads to a high ceiling renovated reception area that looks good - beyond that is nothing special.","We have been visiting Hamilton island (whitsundays) every year for the past 30 years & can not fault it whatsoever - decided to try something different this time and explore nearby Daydream island - big mistake.

property looks run down. Ants inside room. Very small rooms. Once the sun goes down there is no lighting to light up pathways & areas around pool - makes the island look deserted much like Cast Away.
Only 2 restaurants on island that are open. One tiny convenient store/souvenir store - no facilities if you want to purchase any food or necessities. Once restaurants shut you can’t even buy any snacks or drinks for your room.  
Rooms don’t include a mini bar like other hotel resorts. 
We left the island after 2 nights (losing the money paid for the rest of the stay) and went to nearby Hamilton island to continue our holiday.",4 noches ·,"2,0",Australia,En familia
